ISBN	Title	Author	Rating	R Count	Score
9780345477552	Star Wars: Legacy of the Force 06: Inferno	Troy Denning	3.85	3573	2.04
1741140919	4F for Freaks	Leigh Hobbs	5.0	2	0.92
9781402255441	The Girl Who Never Made Mistakes	Gary Rubinstein; Mark Pett	3.75	210	0.69
9780061373329	Pieces of My Heart: A Life	Robert J. Wagner;Scott Eyman	3.52	732	0.0
9780345462312	Star Wars: A Forest Apart	Troy Denning	3.79	390	1.43
9780345463036	Star Wars: Dark Nest II: The Unseen Queen	Troy Denning	3.4	2559	2.08
9780786931170	Crucible: the trial of Cyric the Mad	Troy Denning	3.78	922	2.26
9780786919055	The Siege	Troy Denning	3.89	615	2.1
9781560760672	The Parched Sea	Troy Denning	3.34	665	1.99
9780786914364	Beyond the High Road	Troy Denning	3.43	371	2.26
9780345463050	Star Wars: Dark Nest III: The Swarm War	Troy Denning	3.4	2583	2.39
0786904828	The Veiled Dragon	Troy Denning	3.46	307	2.22
9780307795748	Star Wars: Tatooine Ghost	Troy Denning	3.75	3181	2.42
9780786937318	The Ogre's Pact	Troy Denning	3.22	265	2.08
9780786931118	Waterdeep	Troy Denning	3.61	2616	2.11
9780140143706	Dragonwall	Troy Denning	3.29	452	2.06
9780345428677	Star Wars: The New Jedi Order 10: Star by Star	Troy Denning	3.87	5541	2.8
9780345463043	Star Wars: Dark Nest I: The Joiner King	Troy Denning	3.33	2617	2.64
9780345452146	Star Wars: The New Jedi Order 06: Recovery	Troy Denning	3.37	1705	1.54
9780345477521	Star Wars: Legacy of the Force 03: Tempest	Troy Denning	3.73	3729	2.1
9780099540311	The Giant Among Us	Troy Denning	3.22	224	2.06
9780345477460	Star Wars: Legacy of the Force: Invincible	Troy Denning	3.9	3287	2.06
9780786937981	The Titan of Twilight	Troy Denning	3.29	218	2.18
9781408109342	How to Get a Job in a Museum Or Art Gallery	Alison Baverstock	3.62	8	2.45
9780310292753	Snow Melts in Spring	Deborah Vogts	3.66	261	2.04
9781402220067	Love at First Flight: One Round Trip That Would Change Everything	Marie Force	3.98	2651	1.69
9780767924986	My Reality Check Bounced!	Jason Ryan Dorsey	3.0	15	1.82
9781569474532	The Torso	Helene Tursten	3.8	793	2.08
9781569474525	The Glass Devil	Helene Tursten	3.68	636	1.94
9781569473702	Detective Inspector Huss	Helene Tursten; Steven T. Murray	3.66	1512	2.35
0060915188	An American Childhood	Annie Dillard	3.95	4944	2.74
9781583220085	The Man With the Golden Arm	Nelson Algren	3.92	1438	2.79
9780316034388	Life	Keith Richards;James Fox (Contributor)	3.82	36456	2.86
9780316069045	The Drowning City	Amanda Downum	3.41	1382	2.19
9781841498157	The Bone Palace	Amanda Downum	3.82	649	2.57
9780426114987	Doctor Who: Curse of Peladon	Brian Hayles; Alan Willow	3.54	93	1.77
9780426108665	Doctor Who: The Ice Warriors	Brian Hayles	3.53	164	1.68
9780140449303	The Decameron	Giovanni Boccaccio	3.84	16923	3.99
9780091602000	An Unkindness of Ravens	Ruth Rendell	3.71	1384	2.38
9780307406811	Not in the Flesh: A Wexford Novel	Ruth Rendell	3.58	1623	2.22
9780375704932	A Sleeping Life	Ruth Rendell	3.72	751	2.28
9780375704956	Shake Hands Forever	Ruth Rendell	3.79	976	2.16
9780857861085	The Epistle of Paul the Apostle to the Romans	Ruth Rendell	4.0	1	2.05
9780307424624	Adam and Eve and Pinch Me	Ruth Rendell	3.6	1341	2.43
9780385665421	Portobello	Ruth Rendell	3.26	1498	2.33
9780091924096	Think!: Before It's Too Late	Edward De Bono	3.4	348	1.83
9780141033082	Lateral Thinking	Edward De Bono	3.84	1266	2.02
9781417676019	Drinking Coffee Elsewhere	Z. Z. Packer	3.75	3116	2.37
9780061981401	The Jesuit Guide to (Almost) Everything	James Martin	4.31	1498	2.52
9781935415251	The Trail to Buddha's Mirror	Don Winslow	3.66	318	2.2
9780307793799	Dawn Patrol	Don Winslow	3.92	1915	2.18
9780307398734	Satori	Don Winslow	3.69	1202	2.38
9781602853737	The World According to Bertie	Alexander Hanchett Smith	3.99	4482	2.37
9780307275981	Love Over Scotland	Alexander Hanchett Smith; Robert Mackenzie	3.93	5126	2.45
9780307275974	Espresso Tales	Alexander Hanchett Smith; Iain Mcintosh	3.83	5960	2.32
1402210043	1001 Ways to Be Romantic: Now Completely Revised and More Romantic Than Ever	Gregory Godek	3.72	371	2.43
9780380731954	The Deeds of the Disturber	Elizabeth Peters	4.07	6758	2.7
9780061804014	Guardian of the Horizon	Elizabeth Peters	4.1	3817	2.46
9780446364782	The Snake, the Crocodile, and the Dog	Elizabeth Peters	4.16	6579	2.67
9781568955971	The Ape Who Guards the Balance	Elizabeth Peters	4.13	5340	2.53
9780060878115	The Mummy Case	Elizabeth Peters	4.01	8449	2.55
9781845295318	Silhouette in Scarlet	Elizabeth Peters	3.89	2270	2.28
9780446514835	The Last Camel Died at Noon	Elizabeth Peters	4.17	8739	2.57
9780445406513	Crocodile on the Sandbank	Elizabeth Peters	4.01	29240	2.41
9780380733392	Borrower of the Night	Elizabeth Peters	3.71	3331	2.2
9780061800313	Lord of the Silent	Elizabeth Peters	4.19	5185	2.56
9781845293871	The Curse of the Pharaohs	Elizabeth Peters	4.0	9669	2.5
9780380731213	Street of the Five Moons	Elizabeth Peters	3.9	2572	2.28
9780061801143	Thunder in the Sky	Elizabeth Peters	4.27	5722	2.61
9780380731190	Lion in the Valley	Elizabeth Peters	4.14	8710	2.5
9780380798575	The Falcon at the Portal: An Amelia Peabody Mystery	Elizabeth Peters	4.18	5662	2.62
9781845291631	The Serpent on the Crown	Elizabeth Peters	4.1	4064	2.35
9781849012881	A River in the Sky	Elizabeth Peters	3.87	3308	2.3
9780745172408	The Murders of Richard III	Elizabeth Peters	3.66	1921	2.36
9780061828614	The Seventh Sinner	Elizabeth Peters	3.66	1679	2.17
9780783882116	Seeing a Large Cat	Elizabeth Peters	4.16	5651	2.56
9780061032486	Children of the Storm	Elizabeth Peters	4.15	4109	2.58
9780061798399	The Golden One	Elizabeth Peters	4.12	4481	2.6
9780060591809	Tomb of the Golden Bird	Elizabeth Peters	4.07	4006	2.5
9780783817262	The Hippopotamus Pool	Elizabeth Peters	4.11	6189	2.58
9780446515863	Night Train to Memphis	Elizabeth Peters; Barbara Mertz	4.02	2708	2.48
9781451606256	Star Trek: DTI: Watching the Clock	Christopher L. Bennett	3.92	390	2.66
9781416571803	Myriad Universes 01: Infinity's Prism	Christopher L. Bennett; William Leisner; James Swallow	3.86	165	2.7
9781416510345	Orion's Hounds	Christopher L. Bennett	3.71	561	2.67
1416594973	Over a Torrent Sea	Christopher L. Bennett	3.73	387	2.58
9781416571322	Greater Than the Sum	Christopher L. Bennett	3.69	387	2.34
9780802775641	Skeptics and true believers: the exhilarating connection between science and religion	Chet Raymo	3.61	141	2.85
9780312321451	The Fire Baby	Jim Kelly	3.37	161	2.3
9780312349226	The Moon Tunnel	Jim Kelly	3.47	104	2.4
9780312364786	The Coldest Blood	Jim Kelly	3.58	107	2.39
9780312570811	Death Wore White	Jim Kelly	3.64	414	2.38
9780843960006	The Water Clock	Jim Kelly	3.33	282	2.35
9780061963421	My Journey with Farrah	Alana Stewart	3.68	223	1.82
9780307461384	Bobby Flay's Bar Americain Cookbook	Bobby Flay; Stephanie Banyas; Sally Ann Jackson	3.92	79	2.1
9780307351418	Bobby Flay's Mesa Grill Cookbook: Explosive Flavors From the Southwestern Kitchen	Bobby Flay; Stephanie Banyas; Sally Jackson	4.02	990	2.01
9780307887634	Bobby Flay's Grill It!	Bobby Flay	4.05	168	2.04
9780006472186	Duncton Tales	William Horwood	4.08	295	2.76
9780676975550	Magic Seeds	V. S. Naipaul	3.07	499	2.15
9780783886169	A Bend in the River	Vidiadhar Surajprasad Naipaul	3.76	7535	2.2
9780375713873	Miguel Street	V. S. Naipaul	3.92	1625	1.61
9780330341271	An Area of Darkness	Vidiadhar Surajprasad Naipaul	3.63	854	2.78
9780375708336	The nightwatchman's occurrence book: and other comic inventions	V. S. Naipaul	3.66	67	2.85
9780679444589	A House for Mr. Biswas	Vidiadhar Surajprasad Naipaul	3.8	9635	2.94
9780330343961	The Middle Passage	V. S. Naipaul	3.62	259	2.66
9780375707285	Half a Life	V. S. Naipaul	3.22	2064	2.02
9780233969367	India: A Wounded Civilization	V. S. Naipaul	3.59	596	2.94
9780375707148	The Mystic Masseur	V. S. Naipaul	3.45	1181	1.92
9781400031306	Literary Occasions: Essays	V. S. Naipaul; Pankaj Mishra	3.73	95	2.45
9780307270733	The Masque of Africa: Glimpses of African Belief	V. S. Naipaul	3.15	227	2.39
9780233958842	The Mimic Men	V. S. Naipaul	3.37	590	2.65
9780394757605	The enigma of arrival: a novel	V. S. Naipaul	3.6	768	2.64
